"rid","rca_id"
701653673,4974
701654000,4974
701654558,4974
701654658,4974
701653088,4974
701656058,4974
701653049,4974
701653750,4974
701654882,4974
701654748,4974
701655121,4974
701654900,4974
701654761,4974
701654757,4974
701655563,4974
701654874,4974
701656068,4974
701654945,4974
701652934,4974
701654854,4974
701654810,4974
701654843,4974
701654701,4974
701656013,4974
701654985,4974
701654752,4974
701655186,4974
701655278,4974
701654985,6922
701653675,6922
701654757,6922
701656068,6922
701654761,6922
701654900,6922
701654558,6922
701654748,6922
701654843,6922
701654701,6922
701654000,6922
701653750,6922
701654882,6922
701656058,6922
701655121,6922
701654658,6922
701654752,6922
701656013,6922
701655186,6922
701654810,6922
701654854,6922
701654874,6922
701655563,6922
701655278,6922
701654945,6922
701654748,8995
701655121,8995
701656068,8995
701654945,8995
701654757,8995
701655563,8995
701655278,8995
701654985,8995
701654810,8995
701654000,8995
701654882,8995
701654874,8995
701653748,8995
701654854,8995
701654558,8995
701654752,8995
701654658,8995
701654900,8995
701654701,8995
701654761,8995
701656013,8995
701654843,8995
701656058,8995
701655186,8995
701654945,8983
701654900,8983
701655121,8983
701655563,8983
701654658,8983
701654558,8983
701654882,8983
701656068,8983
701654701,8983
701656058,8983
701654748,8983
701654854,8983
701654000,8983
701655186,8983
701656013,8983
701654761,8983
701654757,8983
701653750,8983
701655278,8983
701654874,8983
701654810,8983
701654985,8983
701654843,8983
701654752,8983
701654843,2922
701654810,2922
701654985,2922
701656058,2922
701654701,2922
701653750,2922
701655186,2922
701654752,2922
701654900,2922
701654757,2922
701653827,2922
701654854,2922
701654000,2922
701654945,2922
701655563,2922
701653675,2922
701654882,2922
701655278,2922
701654874,2922
701654658,2922
701656013,2922
701655121,2922
701656068,2922
701654748,2922
701654558,2922
701654761,2922
701654748,3802
701655121,3802
701654701,3802
701654757,3802
701656013,3802
701654945,3802
701656058,3802
701654874,3802
701654658,3802
701655186,3802
701654882,3802
701654761,3802
701654854,3802
701654985,3802
701654558,3802
701653750,3802
701654000,3802
701654843,3802
701653830,3802
701654900,3802
701656068,3802
701655278,3802
701655563,3802
701653675,3802
701654810,3802
701654752,3802
701654985,13180
701654752,13180
701654874,13180
701654945,13180
701656068,13180
701653972,13180
701656013,13180
701654854,13180
701654761,13180
701653893,13180
701654701,13180
701655186,13180
701654558,13180
701655563,13180
701655121,13180
701654748,13180
701654810,13180
701654658,13180
701654882,13180
701654757,13180
701656058,13180
701655278,13180
701654843,13180
701654900,13180
701653868,13180
701655563,13181
701654854,13181
701654748,13181
701654701,13181
701654757,13181
701655121,13181
701654985,13181
701656013,13181
701655278,13181
701654752,13181
701654843,13181
701653893,13181
701654900,13181
701654945,13181
701654761,13181
701654810,13181
701653972,13181
701654558,13181
701654882,13181
701655186,13181
701654658,13181
701656058,13181
701654874,13181
701656068,13181
701655186,13182
701654985,13182
701654757,13182
701654748,13182
701653972,13182
701654874,13182
701656068,13182
701654701,13182
701655563,13182
701656013,13182
701653894,13182
701654752,13182
701655121,13182
701656058,13182
701654658,13182
701654761,13182
701654945,13182
701654900,13182
701654882,13182
701654810,13182
701654843,13182
701654854,13182
701655278,13182
701654558,13182
701653893,11127
701654757,11127
701654874,11127
701655278,11127
701655186,11127
701654761,11127
701654658,11127
701656058,11127
701653868,11127
701654752,11127
701655121,11127
701654701,11127
701654985,11127
701654558,11127
701653972,11127
701656068,11127
701654843,11127
701654810,11127
701654945,11127
701654882,11127
701655563,11127
701656013,11127
701653915,11127
701654900,11127
701654748,11127
701654854,11127
701654757,9291
701654658,9291
701654874,9291
701654945,9291
701654843,9291
701656013,9291
701654810,9291
701654761,9291
701654900,9291
701656068,9291
701654752,9291
701653915,9291
701655278,9291
701654701,9291
701655563,9291
701654748,9291
701656058,9291
701654558,9291
701653972,9291
701654882,9291
701653868,9291
701655186,9291
701654985,9291
701653956,9291
701655121,9291
701653893,9291
701654854,9291
701655186,8057
701654985,8057
701654757,8057
701655563,8057
701654945,8057
701654752,8057
701654900,8057
701654882,8057
701654701,8057
701655121,8057
701654748,8057
701653675,8057
701654558,8057
701656068,8057
701656058,8057
701654658,8057
701654843,8057
701654874,8057
701654854,8057
701653750,8057
701654000,8057
701656013,8057
701654810,8057
701655278,8057
701654761,8057
701653827,8057
701653960,8057
701654761,13183
701654854,13183
701654874,13183
701654558,13183
701655121,13183
701654658,13183
701654701,13183
701654752,13183
701655563,13183
701654882,13183
701654985,13183
701654843,13183
701654810,13183
701654757,13183
701653972,13183
701656013,13183
701654748,13183
701654945,13183
701655278,13183
701656058,13183
701655186,13183
701654900,13183
701656068,13183
701655121,9707
701654658,9707
701654757,9707
701653675,9707
701654701,9707
701655186,9707
701654985,9707
701655278,9707
701654854,9707
701656068,9707
701654000,9707
701654558,9707
701655563,9707
701654882,9707
701653750,9707
701656013,9707
701654874,9707
701654843,9707
701654945,9707
701654752,9707
701654748,9707
701653977,9707
701656058,9707
701654810,9707
701654761,9707
701653827,9707
701654900,9707
701654558,2036
701654900,2036
701654945,2036
701656013,2036
701655278,2036
701656058,2036
701655186,2036
701654985,2036
701655121,2036
701654854,2036
701654882,2036
701654761,2036
701654843,2036
701654658,2036
701654000,2036
701654810,2036
701654752,2036
701655563,2036
701654757,2036
701656068,2036
701654701,2036
701654874,2036
701654748,2036
701654002,9707
701654069,9707
701654094,9707
701654900,6504
701654810,6504
701654761,6504
701654748,6504
701654882,6504
701654854,6504
701656068,6504
701654757,6504
701654752,6504
701654701,6504
701654843,6504
701655278,6504
701654131,6504
701653868,6504
701654874,6504
701654985,6504
701654558,6504
701655121,6504
701653972,6504
701654658,6504
701656058,6504
701656013,6504
701655563,6504
701653893,6504
701653915,6504
701654945,6504
701655186,6504
701654900,5700
701654164,5700
701656013,5700
701656058,5700
701654843,5700
701655186,5700
701654592,5700
701654810,5700
701654945,5700
701655563,5700
701655121,5700
701654985,5700
701654763,5700
701654280,5700
701656068,5700
701655278,5700
701654263,5700
701654900,3957
701654945,3957
701654761,3957
701654750,3957
701655121,3957
701654843,3957
701655278,3957
701656058,3957
701654810,3957
701654757,3957
701656068,3957
701654326,3957
701655186,3957
701656013,3957
701655563,3957
701654985,3957
701656013,4794
701655121,4794
701654757,4794
701655563,4794
701654900,4794
701654810,4794
701654945,4794
701654397,4794
701655186,4794
701654658,4794
701654679,4794
701654669,4794
701654843,4794
701656068,4794
701654748,4794
701654674,4794
701654854,4794
701654985,4794
701655278,4794
701656058,4794
701654701,4794
701654761,4794
701654882,4794
701654752,4794
701654874,4794
701654761,6321
701654882,6321
701656013,6321
701654810,6321
701654874,6321
701655186,6321
701655563,6321
701654900,6321
701654701,6321
701654658,6321
701654558,6321
701656058,6321
701654757,6321
701656068,6321
701654752,6321
701654945,6321
701655121,6321
701654748,6321
701655278,6321
701654843,6321
701654854,6321
701654985,6321
701654594,931
701655186,931
701656058,931
701654810,931
701654900,931
701654945,931
701656068,931
701654843,931
701654985,931
701654763,931
701655278,931
701656013,931
701655121,931
701655563,931
701654566,931
701654584,931
701654580,931
701654854,5702
701654900,5702
701654761,5702
701654660,5702
701655121,5702
701656068,5702
701654610,5702
701654882,5702
701654843,5702
701654748,5702
701655278,5702
701654945,5702
701654810,5702
701654752,5702
701655186,5702
701656013,5702
701654985,5702
701654874,5702
701655563,5702
701656058,5702
701654757,5702
701654701,5702
701656068,4249
701656013,4249
701654701,4249
701654658,4249
701655278,4249
701656058,4249
701654985,4249
701654752,4249
701654761,4249
701655186,4249
701655121,4249
701654882,4249
701655563,4249
701654900,4249
701654810,4249
701654945,4249
701654843,4249
701654748,4249
701654757,4249
701654854,4249
701654874,4249
701655186,4448
701654810,4448
701655121,4448
701654985,4448
701654752,4448
701654843,4448
701656068,4448
701654701,4448
701654874,4448
701656013,4448
701654748,4448
701654761,4448
701654757,4448
701655278,4448
